QC_Result,Filename,TIC_RSD_TopGroupWindow,TIC_RSD_WindowBest,Summed_TIC,TIC_Time,TIC_RSD_Window
pass,20250310_NIST_Splash_BUME_DG_18-1_r2-NIST1950_Splash_BUME,9.25,7.44,119040,2.77,"[39.74163199156153, 17.61955539899137, 16.800634073253047, 15.921709580670463, 17.50616336636832, 13.499945211372493, 13.499945211372497, 16.01086057181187, 15.370426148939398, 14.842681140890502, 14.748200534188197, 17.243306915763103, 16.339363966042708, 21.79490661237921, 21.79490661237921, 21.5028474621291, 21.557034056506343, 25.031276331477375, 22.722906237111832, 24.855538992954564, 16.435072293434718, 15.70054392277842, 15.375204700453942, 14.829275350043488, 13.388007854989462, 14.586499149789455, 15.649149806621827, 17.149558279514128, 15.94809130174705, 18.138579707842688, 22.057456499056833, 22.057456499056833, 20.414147056151517, 20.593613972360835, 17.065092835966766, 17.207306072140387, 20.25782602644684, 14.751839475904834, 14.6596815889357, 13.293723703053631, 13.213106198768479, 11.95499235339526, 12.049604528263412, 8.212428824475353, 11.10008927414475, 7.4403888584629225, 7.481267548853252, 9.29220939490679, 18.15148985681447]"
pass,20250326_TGL_Splashmix_SolvenTests_Chloroform_r1-1_2_4 Chloroform_MeOH(20mM NH4 Formate)_IPA (2),2.56,2.35,16154000,1.5,"[6.964614773383018, 6.880393481013766, 6.863205355416739, 6.907906808447173, 4.2353617214255745, 5.72362298689112, 5.747581359234145, 4.747200029916314, 7.762437974825848, 8.082128909830317, 9.00251060723709, 8.957321237943537, 7.157775818439238, 7.152082513518547, 6.949759431132161, 5.20906315534323, 4.712466076464055, 3.7954339261616203, 3.4069995926228764, 6.760257524016071, 6.760257524016071, 7.8859063023786, 7.852869592694109, 7.685177593978662, 7.835996423809954, 8.039988455397049, 5.245662708237484, 5.425063347377302, 5.220018387768546, 5.020552001480585, 8.331739178329967, 7.727690466210387, 6.854973601244192, 7.993316404877658, 7.223389207392043, 7.41092015044028, 7.731072193004304, 6.383052182681198, 7.102228110638688, 8.616894082266748, 7.945530130939258, 7.962688039851706, 7.883471851704034, 7.698922865592168, 7.352451325427076, 6.022009438567281, 5.268709869197217, 5.259966095330232, 5.422660288588069, 5.435616755150486, 4.156628275864041, 4.207043389996329, 4.84984682598637, 4.333582701788602, 4.184365016689938, 4.2984540539091745, 4.2536812871301475, 4.590906044843745, 4.517992942580038, 4.696994817608681, 4.446084271033037, 5.229258513485623, 5.4688336041139545, 5.894343860338724, 6.180174792006675, 6.179414368366284, 4.183684614021154, 5.198265225111978, 4.823784957325317, 4.320804994305303, 3.780711014866014, 3.502561459082047, 4.141587354205842, 3.9124402850674325, 4.911756210994897, 4.9175299689309036, 5.793042342215078, 6.047659583926666, 4.394785671751312, 4.4375394479287005, 5.104645822574304, 6.153335848720891, 6.18603338573993, 7.132203369969588, 6.75078767221822, 7.47796068059073, 7.161474915200976, 6.921405670337085, 6.156290722514155, 6.528885940973668, 4.8700764046773, 5.128850285324089, 5.496707801900424, 6.433516937695025, 5.996332089375818, 6.017520990582576, 5.851164555315591, 6.207416802908634, 6.031106034778328, 5.203762314079747, 4.3077584694855755, 4.335849287734632, 3.9779280418175618, 4.155936269138043, 3.065511386340317, 4.534902938219271, 5.622430539540002, 5.4962466849864295, 5.505444293657718, 5.327058809554722, 5.982441730054537, 5.928506911554586, 5.531951877566975, 5.3018310572293075, 5.8897533516131695, 6.4631564836541715, 6.318172351523817, 5.447948128888659, 6.218378685990687, 5.774214612139721, 4.497696329741998, 5.857440261057702, 5.9189540452896745, 5.760408052550843, 5.817450528128424, 5.650462394818308, 5.610826079577963, 5.030234439845515, 3.615893377595606, 3.3403075670631335, 2.4265764034015223, 3.4552662678706896, 3.9874885575490895, 5.969649575861249, 6.34099394642101, 6.67253311505913, 7.495364116712169, 7.1229750358282455, 6.8338759635601765, 6.649902221884137, 5.373718795116375, 4.217456963724014, 4.1953953212690145, 2.8683744858030646, 3.10564682670703, 3.7705571520006433, 3.6736286428568286, 2.9813562120044153, 2.7727151881431777, 3.3934555707786522, 3.2342254774093173, 4.032372746437059, 4.455378509961356, 4.073055805232836, 5.57754745486391, 5.748188034084596, 5.21324095062947, 5.282178954528411, 4.997870253531903, 4.087132344911939, 4.122909922512917, 2.6852306667492116, 2.765237745262703, 3.111058232084157, 2.3494276014994866, 3.403440244272276, 3.9917108606582508, 4.077552059433944, 7.46794012932666, 6.8513580801231715, 5.996985004440532, 6.8064364505812085, 7.150945298180766, 7.097277059663281, 7.28477394918558, 3.7898513132317584, 5.314758601700388, 5.3650443004190995, 5.0787071542712185, 5.093323411137145, 5.2538976765144065, 4.122133130530539, 6.268081769589869, 5.579846695068421, 5.5026625069554935, 5.6031833218408895, 5.624597112312879, 5.996614292550069, 5.952804903451579, 4.85128347359979, 5.398660098185784, 5.4219164654575565, 5.469101215622947, 8.184095599355084, 7.536353396613177, 7.563055665002665, 6.704931638781495, 6.409712974603314, 7.7829965082583925, 7.661694293030023, 5.588350757645922, 5.771869527807502, 7.547860401900898, 7.334064562782886, 7.298026349203192, 6.1557362631111205, 6.272771244563937, 5.804836613039559, 5.7452929436840705, 3.9672204493124243, 4.57393842627873, 4.435792787017447, 4.511503470690609, 4.379284994709005, 4.425691586231677, 4.055092497474295, 4.459230447621896, 4.345449767483891, 4.184638773881503, 3.9526322696025074, 5.24889347951172, 5.507104497170383, 5.752312096369214, 5.447770388943759, 5.827203273168177, 6.114787871267641, 8.61945394676419, 7.016331533022912, 7.321325768654111, 6.382677510818141, 5.960234504298415, 6.234585258908454, 7.349798566293206, 4.9543242057232995, 4.847302383735484, 4.857614984044464, 4.313404835052065, 4.151173524446636, 4.156352475464167, 6.065511416061476, 6.073471559800541, 7.065277997496961, 9.895813286441705, 9.894159737404015, 10.695311171383553, 11.037598339986623, 9.067578091090354, 9.44507741146029, 9.101073397511357, 4.97268243780778, 5.221434569566481, 4.830194044560094, 4.073221271790736, 4.220086556648915, 3.9215009600710142, 6.535260239061662, 6.929411617464252, 7.515772147086247, 7.399611962944304, 9.518039843041077, 8.856331984011721, 8.780078261115486, 7.8802354814143865, 9.741571852611962, 9.502817105480812, 9.409106269668266, 6.6440494382282775, 6.166765979281108, 6.088692629525752, 5.863102019541778, 4.383099034982642, 4.483462592569498, 4.342937575083932, 4.451618705462628, 4.369841017869246, 4.462599518088984, 5.066059489925498, 3.8622339693414984, 3.762286324765815, 3.832183001131499, 4.32348686629122, 4.309771098152086, 3.9173692894906362, 3.8099730845402164, 3.7572863169824187, 3.919036204680748, 3.753646299686179, 3.453845648035204, 3.753360850375579, 4.380374607996414, 4.995308833250808, 4.807885293645781, 4.96356759491193, 4.7161941181308045, 5.535308242017576, 3.727609495916546, 4.125855527482957, 4.266079879474779, 4.756236987934675, 4.920682070893704, 5.189055970865399, 4.679348945148611, 5.270462766947299, 6.833767794256305, 6.375164965538077, 5.763389864343588, 6.087693782339263, 6.09271743863958, 6.062007420629563, 5.627206165853247, 5.105489773976426, 4.7787007416968255, 4.176106490738728, 3.8993785286414138, 3.89951039409865, 4.0302477133510095, 2.819045914409637, 3.5154993284030773, 3.750078597662513, 3.483130055195894, 3.900922969285376, 4.214427698814044, 4.310181187988741, 4.423869849264774, 2.6282356272477276, 3.7398347451037943, 7.033596457773348, 6.861157728400409, 7.026959086754737, 7.053449683292584, 7.465989893530593, 7.464786711610466, 6.881434020089272, 3.596548730805354, 5.478802584390663, 5.464726734140834, 5.798347573806206, 7.04471349182637, 7.285583073711871, 7.280468762211474, 7.7443569005508, 7.221309769910277, 6.960038156558633, 6.468529532770662, 3.6415369020423873, 3.5205427988805558, 3.7208392206600176, 2.896278185659298, 3.3099435664719645, 3.3791180593473706, 3.3042908682227057, 2.497296467349428, 2.8206389144930237, 3.0750351577657797, 3.0632465515689806, 2.982259997007598, 4.596017359916873, 6.929183119166408, 6.924764602535137, 7.468903463669804, 7.486979085701559, 7.536936218087447, 7.760143107908454, 6.728268766310987, 4.46842753868381, 3.9812810363534403, 3.893579140813758, 3.8244822954075692, 3.860105112575571, 4.023491060524656, 4.066553790436714, 4.159539604977584, 3.7968991805618977, 4.051859147599245, 4.249063475914263, 4.221052748589944, 3.687650745843646, 4.1113493411896, 4.127254409660312, 4.92478688508742, 3.9504476132762893, 4.49721263984197, 5.086908505312545, 5.099992757947532, 4.92082918139891, 5.37780265553866, 4.54256841063447, 6.566328339687103, 6.304853500973007, 5.845409831629083, 6.556222922394735, 5.785851500735388, 5.840938288172838, 6.206229756377797, 4.962833071677684, 4.532779671232039, 4.756383580957231, 3.9006239633462005, 4.023095867930361, 4.661584534294146, 4.473269853165945, 5.080334489946554, 5.395669413272882, 4.600971865567021, 3.990157270274566, 2.8604862494485785, 4.076980428619047, 4.193546529444875, 4.943202955790041, 5.222178019247137, 5.2711266786167394, 5.142126939134335, 5.259129986554038, 4.507491025469243, 4.737109454109469, 3.610839936174419, 4.167953914164647, 4.2218216936059125, 4.234917855983932, 4.108671644012058, 6.142882633427375, 6.2718818538586225, 6.623450671273368, 6.173279527607045, 6.368577334641458, 6.907204343990521, 6.985093721285383, 6.00223117534084, 6.467203661833581, 6.4017624000104, 7.144195799002466, 6.292294113278879, 6.805763609930629, 6.142772055985335, 3.5759969615610108, 4.767212242471168, 4.75544690875185, 6.496538706130737, 6.719570990628113, 5.826877740357849, 5.637410080228639, 5.635292472012644, 5.986314628397583, 5.690277608277056]"
pass,20250310_NIST_Splash_BUME_FFA SFA USFA_r3-NIST1950_Splash_BUME,1.39,0.94,33342520,5.25,"[33.65215499267865, 9.787651978273965, 9.224093727315626, 6.007107584201104, 5.341929670716274, 5.139139413975415, 5.762513106153677, 4.619116255520913, 4.354052122813211, 2.900938443993024, 4.1119373328004745, 4.780855362328387, 4.8359474945096865, 3.027093788301516, 2.5428688386649987, 2.843445018358007, 2.126779518137114, 2.2769743304337373, 2.7191861799549746, 2.6638327048729136, 2.561588220592684, 2.423261114236924, 2.480614948299149, 2.728657367829299, 2.8494744846177755, 1.6389153666605556, 1.6371187993212653, 0.935982878755259, 1.2020258519153293, 2.8552531256397797, 2.6291946991665176, 2.681704481820661, 2.600224505565503, 4.554133955238549, 4.179149818546606, 3.7973080976109395, 3.8301088412984186, 3.4584524448347502, 3.3928374961820715, 3.11063328134686, 1.7774537042113632, 1.4582080085691884, 1.455079046092571, 2.147299923246298, 2.0775412573424625, 1.9689325031665719, 2.370551188885123, 2.606758059823307]"
fail,20250310_BLANK_BUME_PE_r1,32.31,29.25,13240,4.28,"[57.49931931548738, 47.08148963941844, 58.878405775518985, 61.6874261228872, 51.67562646325994, 51.94730620874712, 62.18252702059209, 67.4029910390347, 64.37390775772431, 60.72102967530205, 67.5116518036087, 75.06375890690904, 82.80900134335971, 69.17210141614225, 54.1602560309064, 38.79917968315853, 39.57724124659724, 39.57724124659725, 37.38467373197555, 35.04383220252312, 40.18412065082195, 40.0, 50.25084492708785, 40.79681886878595, 32.46999285477134, 40.27763608308976, 40.27763608308976, 45.31372124791047, 38.658638855069924, 38.658638855069924, 42.00399056866504, 42.95695560309286, 34.015067152490374, 29.249881291307073, 29.249881291307073, 56.568542494923804, 56.991811929502056, 55.46674270510032, 41.717577509105745, 33.8501600193165, 37.77561707211496]"
pass,20250310_NIST_Splash_BUME_PC_r1-NIST1950_Splash_BUME (3),2.29,1.92,874160,5.25,"[8.574413893538415, 8.60557157861368, 8.184806100765908, 7.837310071820649, 6.528966737224174, 4.972997924254542, 3.5305248440753836, 2.3572835592868997, 2.58152552296815, 2.5815255229681506, 2.313550426033586, 2.3202941363382705, 1.9161227211096754, 2.252219251550169, 10.283323172902659, 14.624090803873774, 17.31461082421949, 17.36941655885502, 16.814777674065642, 15.484718292472245, 12.191396670538685, 11.531520455308634, 10.793679627740262, 8.947510704610476, 9.389339064964936, 6.743914808642729, 5.873020482805275, 3.929450253498348, 3.344975606543463, 3.1457643480294792, 5.061231367284469, 4.854561447076672, 4.942618131588718, 4.343038925700762, 4.692349245637533, 7.536678468041718, 7.564329806425454, 9.304902829255166, 9.158226038627895, 10.015462376269744, 8.96038312043461, 6.229598412654749, 6.2931100130472, 5.565472401630166, 7.651382700671657, 7.7615717650044225, 5.059424194791593, 5.465806659741526, 6.4707031564394555, 5.492916201939294, 5.50509740138549, 4.50424146511669, 4.800561551549913, 7.1701103999525255]"
fail,"20250327_TGL_SerumLipidExtract_TG_18-2-Serum,Human,Male,ABPlasma,SigmaAldrich",,,920,4.69,[]
pass,20250310_NIST_Splash_BUME_TG_18-1_r3-NIST1950_Splash_BUME,7.63,7.09,245360,4.99,"[8.09598118760972, 16.3857451088099, 17.398904483552712, 15.493704195075475, 14.907119849998596, 15.658670837670927, 16.74703960452952, 10.69038410903705, 8.045389820493982, 8.506593908121832, 10.561180324438755, 11.263116958705542, 10.945333526515423, 7.425662406535709, 7.13096008374583, 7.09497654580172, 7.959756789885304, 8.334079813680003, 12.118997347642365, 13.974349523565275, 15.203063812901622, 16.53581854298668, 16.854312553035772, 15.403906325171905, 16.06113373976733, 15.086316744274836, 12.855395220074255, 13.557789621730333, 10.458854907236855, 11.0843931509879, 8.597187384788981, 9.797503138515891, 9.720389506568178, 9.376610861686405, 8.40371455128441, 9.300237533233375, 13.44246000078636, 13.92966528499733, 13.92966528499733, 17.061409519403075, 19.673638564808467, 20.471894471576515, 20.321963151688564, 18.04487805503746, 17.644506597745494, 17.04740724305464, 15.348942566410512, 8.909812380599488, 8.742912064066026, 17.519286910454653, 20.04287533762195, 21.407558056679477, 21.70321602433189, 22.0213397971793]"
pass,"20250327_TGL_SerumLipidExtract_Acyl-Carnitines-Serum,Human,Male,ABPlasma,SigmaAldrich",5.71,5.09,544700,3.72,"[10.53361675045901, 9.938227725399015, 11.163690079470864, 7.203990773816858, 7.953936674834683, 11.52461539471524, 11.91200976589747, 12.699698852375477, 13.04042293979037, 11.99589540838788, 13.186376085170778, 13.188826674176553, 10.556932068048368, 5.194251328205892, 5.456983445788073, 8.930449246569827, 8.759140098291871, 8.520675803309596, 8.505588121386946, 8.274142484793288, 7.490927352988547, 7.412742357219604, 9.868019630031405, 9.841268407992292, 11.40159757098173, 11.46579284628238, 10.003381188516727, 10.745127255814568, 12.325459153826065, 12.986469469576948, 14.10883676792903, 8.424108416868934, 7.24879243404795, 5.4306353620906, 5.090718511329661, 5.879343030122582, 13.280172611846512, 13.752592182460669, 13.088901050992675, 12.894596512880325, 10.625749719468075, 15.423623482270063, 16.3901917113064, 14.203123474274365, 12.043293438134521, 15.127115184650505, 15.168024061124433, 15.477470877538622, 9.601587202046078, 9.03239349405267, 8.951450818384984, 13.713386200376243, 11.463817159223336, 12.110909237676603]"
pass,20250310_NIST_Splash_BUME_PE_r3-NIST1950_Splash_BUME,17.22,16.17,59200,4.28,"[18.429165801897067, 24.954267414457902, 24.554430676031274, 24.59839657725729, 24.59839657725729, 26.981171114981144, 26.3740836144382, 41.045490619046824, 34.780526716738684, 39.07281835096298, 40.646401830831195, 41.83135380681158, 41.738615982580285, 35.835049950339254, 24.257061516905864, 31.108217458022853, 29.338125203484296, 37.21962166778365, 36.641405439647, 37.06293290592586, 37.5788781131621, 34.180132097742785, 22.324865827191513, 22.324865827191513, 16.166051555023706, 16.62362297811677, 18.182905770926098, 17.09588499454054, 16.81643769336603, 23.85411810072336, 25.63487860399627, 25.63487860399627, 25.599306858921295, 25.599306858921295, 32.802904212910796, 32.274861218395145, 33.33247070291425, 34.984609864295855, 31.490739379485305, 33.18302787383299, 34.05072790434306, 29.777763972365275, 29.13902820951951, 21.621148175869536, 23.79088511821581, 21.641977847481147, 22.003313653958706, 21.64269468566603, 19.70377188508939, 24.727309643571683, 22.453398955475304, 21.162135367921874, 21.82062936960487, 21.28050658589377]"
pass,20250326_TGL_Splashmix_SolvenTests_Chloroform_r1-1_2_4 Chloroform_MeOH(20mM NH4 Formate)_IPA,2.63,2.22,11471050,1.5,"[7.30969583466113, 6.927473206931051, 8.3185929605525, 11.185309034328926, 11.708888620653795, 11.898743194347782, 11.344578413687238, 6.535158662190573, 5.202347468083465, 4.599696572051708, 9.306835976818547, 10.658747561554318, 11.457257584929799, 9.68962704724594, 9.67492667426996, 8.52081045211921, 9.12860603924272, 7.648175989763536, 6.573984397218706, 4.4931836540521415, 4.464431241656143, 8.01272775854858, 7.602846315583613, 7.446614873482442, 8.048289529277897, 7.998714398778968, 6.614246821930991, 5.9754170201325145, 4.228197719434531, 4.825086011937824, 4.0571618622361445, 4.527609710413409, 4.360473551793173, 6.71088811534587, 7.102860271883414, 9.475773993847733, 9.440685109353916, 9.468077727896352, 8.459051693633015, 8.683872942480644, 8.78441536123078, 8.395574765597592, 5.084323769231948, 5.34114514509904, 6.347189163102053, 6.8071669845329685, 7.281709742960674, 5.682383477372092, 6.437554607888731, 8.236834082699373, 8.257375120206525, 9.383994607062403, 9.352947236228452, 10.874092621967243, 10.647942749998998, 9.243695327090713, 9.626717053450456, 9.827141666705943, 10.253616735293464, 11.49268503503849, 12.911119225767548, 13.0241513016051, 10.903699632796403, 8.791956118298714, 9.146810711268474, 10.726229916665854, 10.119537306185434, 10.511098631701298, 12.103837816840802, 10.611614707351364, 10.826707890150976, 10.024163110328498, 6.342681970906079, 5.795043479941694, 4.9172422821337305, 5.4449799486011, 6.819442439239387, 7.175537803592558, 6.732240480624915, 6.818114577398399, 6.4355060481438535, 13.35486001238699, 14.35370755517722, 13.825238628277592, 12.790074372096644, 10.587972308875395, 15.615112256098968, 16.32138205271786, 12.75922960801793, 11.383626752476596, 10.223341004353168, 8.807052008212363, 8.478053293199054, 7.4719982322444825, 9.483555816518868, 9.332841600787503, 9.589506548335223, 11.045745312244145, 9.540127998634865, 9.593305779350189, 12.766253680519899, 12.725535259323689, 12.967191116395831, 13.848644750325873, 12.271008669681116, 10.71873665650594, 10.350200760054502, 7.580676861608877, 7.314453171702577, 7.489351122174978, 8.30805627605979, 8.304170296742226, 10.479366888550032, 10.705379136918673, 11.363504902007659, 13.591509790060899, 13.503749361113911, 11.062259767598395, 10.868114691841328, 6.2160439661187965, 7.432839106722209, 7.703373423974777, 4.805420199968649, 6.33135498927092, 6.470581215443992, 6.160740172363069, 6.406719254763403, 7.168964599089622, 7.7742675693739365, 6.794174825698043, 6.6303342774893315, 5.653161939832, 5.777330756298042, 5.777330756298042, 4.960651060593641, 2.2224201855605656, 2.484533831526143, 4.1140034224500095, 4.167867089015899, 4.145217014434721, 4.8318388494098885, 4.74183638893549, 6.221125213825085, 6.02643650662384, 7.149459207948822, 7.836083557716972, 7.823173054940985, 7.436800611998794, 8.898123871958179, 7.893820544818553, 7.9057892853932, 8.747678027667149, 10.396409188172369, 10.392933126454016, 10.521447862434847, 7.652764149757677, 8.105987338673284, 9.004376706530884, 10.690740099184563, 9.33817640597741, 12.315428744392449, 12.28847604394565, 12.671900849362133, 11.47805341604108, 11.66599657151959, 11.186618609926317, 9.131737930912443, 7.594248043875796, 7.305895150575139, 4.136578031617125, 4.1709071679179965, 3.8909651067104867, 4.259829546612597, 7.709045560045869, 6.765236840287067, 6.73145600891813, 6.554436800745603, 6.7639007617233196, 6.70569550532219, 4.911353574994872, 5.695621849825211, 12.175815325901327, 12.282204403484814, 13.32888026179343, 13.764238181206665, 13.893742261959186, 14.104976427169486, 14.417290911127031, 6.635395816387317, 6.635395816387317, 7.245808934956681, 8.667571172861882, 8.80223487774413, 8.88998887218209, 7.152679559772087, 7.1193894778443205, 6.708263009879829, 5.979140346879067, 4.376244411766229, 3.9327073386830933, 4.139368025662532, 5.015602332161517, 7.443117146751864, 8.54724499793455, 11.093797937072903, 12.807423983184679, 14.28315874226154, 14.232658483055655, 14.076965047141757, 14.402339901456134, 12.798993493879774, 13.788940404556252, 14.010155386377516, 16.041574220006552, 16.180765313850102, 16.010784081232426, 13.643077916288563, 5.170930513349434, 6.3940458110658405, 6.980379134385436, 5.677135363588164, 5.678962568990649, 5.778250402788529, 5.6859529787846865, 5.234651233928696, 4.581841491440014, 3.150936309786206, 12.99047188486195, 13.011608573963407, 13.40765424566005, 13.45975033745212, 13.50847103492883, 13.541646560488205, 12.970671788778562, 8.00053411985159, 7.432267768872208, 6.952668899409577, 6.2822151331396165, 7.873775791440242, 8.910221279122402, 7.433688584511657, 8.058334745943792, 8.61266627404111, 8.818063621354035, 8.906451479415647, 8.906451479415647, 8.904462829655358, 8.877858405099092, 9.559078411702494, 10.23511021348936, 11.768449791124166, 10.719004303416025, 9.062405911168884, 8.92890788763443, 7.517723014997749, 8.405236983298824, 7.611692261355568, 5.719067134959478, 4.563638314369789, 4.427225319899677, 4.340602176157641, 4.728429745736273, 6.346652661048973, 7.501247949301265, 7.815034042730352, 7.598943515890463, 8.395712340927448, 8.529607428785964, 7.645593934646189, 8.86363430176357, 7.1317750809935285, 8.056790014852917, 8.26199608256149, 8.945924036206726, 8.552699859073021, 8.526878537744093, 9.208014986600348, 9.963974846501822, 10.421214777694361, 10.460729380496511, 9.594599228019163, 7.637957006456951, 7.645065349883438, 7.788094789813782, 7.639020406720744, 5.763246555010179, 7.049376932813595, 6.87096817877358, 6.635957996519694, 6.506153580883903, 3.287138094560212, 3.0114986808829394, 3.324468851016232, 3.8829066516829562, 3.911914231220951, 3.8106002119894185, 5.12371975392106, 4.6827950440491675, 4.710828411611013, 5.255939890864729, 4.925737980010112, 5.032704727906764, 5.392234535139175, 3.3359656846885475, 3.354809366451091, 3.7692736703205387, 3.3145620022963804, 2.5872823883239406, 2.479767595956881, 2.9948348195800336, 5.6863797014133155, 8.003980919515774, 7.882723486693866, 7.276699247020452, 6.344583701087739, 4.880428232566765, 5.564058543291019, 6.0903005737234075, 7.538476059132012, 7.766254970330036, 10.354654805990581, 10.766849041560889, 11.102953989641847, 10.674151939211377, 10.88212603073778, 6.34334813995487, 6.9908583331865, 6.168521324807588, 6.5383666395556705, 6.705501476121671, 6.02358069506141, 5.4028715377866, 4.528307996056129, 4.076423018220733, 7.768565754552757, 7.666837859599627, 8.04243676500702, 8.239403180649878, 8.710506019683633, 8.25752076894714, 8.250120139950022, 6.3719075938984435, 6.3420686140023985, 6.409169288043656, 6.409169288043656, 4.727246197451497, 6.109840739696313, 5.964722450484587, 4.9563197683550175, 4.8103109386176826, 4.701928096338244, 4.274188786284962, 4.367184518509384, 3.514495807857717, 3.5039222081842443, 6.696816519661711, 7.482765304518993, 7.582066562077822, 7.3599677250119635, 6.883001429840735, 6.938077936834841, 7.130215386678662, 5.92348388444058, 7.432751378168619, 7.5525778730767374, 7.89364799087116, 9.973930551889636, 9.804894866887036, 9.890872858376381, 9.410191982226303, 7.8761297397704055, 8.301960445806786, 8.38299208774786, 6.308963736118408, 6.025923972637002, 7.616715288030212, 7.543904470158942, 5.869647381272635, 5.35315532846591, 5.1746018824937705, 5.11982388001153, 4.946701814869526, 6.438843552081062, 6.517845629410695, 6.725316195219949, 13.296299866649475, 13.33913560491204, 14.227593169013685, 14.786912047877522, 15.405190682340203, 15.849728852122105, 15.22021433547448, 11.487705787467165, 11.434629105560843, 9.58480692393821, 5.9304808342012665, 7.902910558947824, 10.247601853389808, 11.305965081334584, 10.800032854120355, 12.570489993504658, 12.825920169885038, 13.534004504998842, 16.118363840432504, 14.95402605315998, 13.499890912675387, 13.603476554168747, 13.60664545652243, 12.78096990884684, 12.259003894524092, 11.493831781447046, 10.485091521834896, 10.373549613068818, 10.1894426507913, 7.599977912127633, 7.508679518848424, 7.243727915851133, 6.416585030073844, 3.873865287335644, 7.626841945652364, 7.2788337406825905, 7.0697757812809625, 8.1487296375478, 8.049082319401773, 12.350847846872874, 12.347774098203278, 12.113412031062355, 9.650098652824072, 9.727206446913303, 9.784418640400268, 9.113821580405428, 8.994407616102704, 8.893961664246707, 9.668329840433936, 14.73821118067474, 14.220991368679654, 14.351033140501146, 14.977130462337085, 13.128085172038636, 13.305581546269018, 13.33773067313022, 5.05630902673298, 5.456374314876264, 7.807851190536246]"
