QC_Result,Filename,TIC_RSD_TopGroupWindow,TIC_RSD_WindowBest,Summed_TIC,TIC_Time,TIC_RSD_Window
pass,20250916_21MeOHACN_BrainLipidEx_LC-TG_R-3_Op-TGL_Proj-solventmatrix_TG_18-0_Splash.dam,11.11,10.74,393800,5.37,"[10.74398838165416, 11.058391025755054, 11.006624975221632, 11.170523994711447, 11.823774422271349, 11.786817125281491, 11.519106477782941, 11.52949564970728, 11.359795626628431, 11.359795626628431, 11.653165183631865, 11.371517134647497, 11.309335124708907, 11.552618997475337, 12.094414876898197, 12.204820289674785]"
fail,20250916_21MeOHIPA_BrainLipidEx_LC-TG_R-2_Op-TGL_Proj-solventmatrix_TG_18-0_Splash.dam,,,32440,5.37,[]
pass,20250916_21MeOHACN_BrainLipidEx_LC-PS_R-2_Op-TGL_Proj-solventmatrix_PS_Splash.dam,4.03,3.88,3126720,4.13,"[6.142053900626326, 5.364230928296313, 4.84582624370927, 4.571606677366531, 4.5721607164849205, 4.365867368497725, 4.143307251768238, 4.151581349258055, 4.093076989163824, 4.07574388382722, 3.8893834669498464, 3.881024222642399, 4.1230928064704955, 4.138127130808938, 4.118756743802958, 4.145249105162338]"
pass,20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-PE_R-3_Op-TGL_Proj-solventmatrix_PE_withSPLASH.dam,15.16,14.81,634400,4.52,"[22.171919663235283, 21.975456587520164, 21.80730806199117, 20.83483199544137, 19.09726114559051, 17.460179617211406, 16.609791753098953, 15.547430394314404, 15.035989937365763, 15.329653826975175, 15.322599208587468, 14.813036100472369, 14.920394827824829]"
fail,20250916_12CHCl3MeOH_BrainLipidEx_LC-PS_R-2_Op-TGL_Proj-solventmatrix_PS_Splash.dam,,,3480,4.13,[]
pass,20250916_12CHCl3MeOH_BrainLipidEx_LC-PE_R-3_Op-TGL_Proj-solventmatrix_PE_withSPLASH.dam,23.88,23.12,94600,4.52,"[24.45425894253111, 23.12240887031346, 24.06076394253552]"
pass,20250916_532MeOHIPAACN_BrainLipidEx_LC-PC_R-1_Op-TGL_Proj-solventmatrix_PC_withSPLASH.dam,8.41,7.96,41792320,5.49,"[13.059473034545238, 12.475900760902382, 11.85000939432183, 10.982809951569092, 10.275192362821631, 9.915673440111156, 9.627785918665726, 9.44232987498238, 9.103529299550523, 8.593607801923007, 8.473338648272895, 8.236837825511786, 8.086020335837611, 7.956977419070034]"
fail,20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,,,162160,3.57,[]
pass,20250916_21MeOHACN_BrainLipidEx_LC-PC_R-3_Op-TGL_Proj-solventmatrix_PC_withSPLASH.dam,8.72,8.63,130568320,5.49,"[18.527085399040153, 16.059410886853865, 14.062659606611822, 11.833685237541474, 9.145711013507386, 8.628243694730699, 8.702401649613616, 8.706417509184389, 8.713007110426824, 8.804805427785698, 8.791077238909546, 8.852014141314669, 8.921529185371071, 8.86242823395896]"
pass,20250916_21MeOHIPA_BrainLipidEx_LC-PS_R-2_Op-TGL_Proj-solventmatrix_PS_Splash.dam,3.02,2.88,3606160,4.13,"[5.397362987940095, 4.444897935573314, 3.952968637982969, 3.702731046458646, 3.571709861519828, 3.373002253583643, 3.2562427746766187, 3.1388021934985506, 3.047612227479558, 3.0497632663540126, 2.9799640835290715, 2.875096701501626, 3.036091716649123, 3.1414149135647143, 3.1089573168440396, 3.105617199127101]"
pass,20250916_21MeOHACN_BrainLipidEx_LC-PC_R-2_Op-TGL_Proj-solventmatrix_PC_withSPLASH.dam,0.72,0.63,319692640,5.49,"[1.0724793408751532, 1.0721246040123715, 0.9998258911045872, 0.9448273084094014, 0.9206213641081106, 0.8542524621297259, 0.8356948700115127, 0.8194450632222867, 0.8095773551302708, 0.7654717655882564, 0.7097309804758742, 0.6975128407479672, 0.6298177109292207, 0.6823469955732528]"
pass,20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-PC_R-3_Op-TGL_Proj-solventmatrix_PC_withSPLASH.dam,2.88,2.81,36857520,5.49,"[3.5162316280606856, 3.5302961712997147, 3.5016564397566334, 3.464549465442799, 3.3997167759028937, 3.2983563583681828, 3.169153547979401, 3.1438608570959947, 2.9839098485113893, 2.9070391947515306, 2.850230175434252, 2.884667198910442, 2.8101423219969415, 2.8417842839081793]"
pass,20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-PC_R-1_Op-TGL_Proj-solventmatrix_PC_withSPLASH.dam,1.7,1.53,35523120,5.49,"[2.109592409133056, 2.2132623181231366, 2.2085711839840196, 2.219464646788635, 2.219620233588181, 2.1526930038944383, 2.095130530542239, 2.0236952214042403, 1.8979994535191367, 1.8211853571972507, 1.7611707930257987, 1.6299834952068275, 1.559924215696944, 1.5332103585246657]"
pass,20250916_21MeOHIPA_BrainLipidEx_LC-PS_R-3_Op-TGL_Proj-solventmatrix_PS_Splash.dam,6.17,5.83,3261960,4.13,"[5.826118489403865, 6.24244943692005, 6.296695149982227, 6.208488084781867, 6.195490236308431, 6.258899109595527, 6.342520693412501, 6.314221627042962, 6.390810376174224, 6.544313080979372, 6.756432098980586, 6.702487561425648, 6.563113525490823, 6.468802929028867, 6.588575660467945, 6.603224935470046]"
fail,20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-PE_R-2_Op-TGL_Proj-solventmatrix_PE_withSPLASH.dam,,,634880,4.52,[]
pass,20250916_532MeOHIPAACN_BrainLipidEx_LC-PS_R-2_Op-TGL_Proj-solventmatrix_PS_Splash.dam,7.35,7.25,1251560,4.13,"[7.256206674994514, 7.248801566282394, 7.447568213336256, 7.471418003008721, 7.3193629217955705, 7.331982659159987, 7.6252602061179005, 7.662988887576821, 7.740143819712447, 7.730273782985616, 7.604766342680974, 7.745718351149049, 8.047583607397616, 7.982190964621272, 8.175884437874107, 8.233679879929717]"
pass,20250916_532MeOHIPAACN_BrainLipidEx_LC-PC_R-2_Op-TGL_Proj-solventmatrix_PC_withSPLASH.dam,6.29,5.54,41438200,5.49,"[8.825435502664563, 8.56417360951406, 8.447582015982182, 8.360392722955273, 8.126297236227256, 7.96648254814762, 7.804890456807886, 7.547419448873977, 7.019707406609063, 6.867740244315367, 6.487231287219086, 6.06801268665432, 5.741783036576797, 5.5388248197581635]"
fail,20250916_12CHCl3MeOH_BrainLipidEx_LC-PS_R-3_Op-TGL_Proj-solventmatrix_PS_Splash.dam,,,11320,4.13,[]
fail,20250916_12CHCl3MeOH_BrainLipidEx_LC-TG_R-2_Op-TGL_Proj-solventmatrix_TG_18-0_Splash.dam,39.75,39.54,35280,5.37,"[44.760363574462346, 44.91958346161727, 44.20371420425249, 42.42033252062643, 41.853804154371566, 41.27397699859757, 39.73926311003827, 39.93103808355266, 40.003536930117676, 39.830323481353545, 39.9027072874946, 39.537291546215656, 40.476327480627816, 40.37397846122193, 39.92851157095928, 39.54967567182322]"
pass,20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-Cer_R-2_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,8.25,8.2,411960,3.57,"[8.8375368905641, 8.28605220977472, 8.3812057967092, 8.418411169485058, 8.570992020154893, 8.620245425971802, 8.57997901115269, 8.5182304333792, 8.445967441370106, 8.399426965168514, 8.242540535556921, 8.23560358340266, 8.203767370805878, 8.280442279378375, 8.27331849925506, 8.255964843727252]"
fail,BLANK_LC-Cer_R-5_Proj-solventmatrix_Cer_Splash-BLANK_LC-Cer_R-5_Cer_Splash.dam,,,5200,3.57,[]
fail,20250916_12CHCl3MeOH_BrainLipidEx_LC-PS_R-1_Op-TGL_Proj-solventmatrix_PS_Splash.dam,,,920,4.13,[]
pass,20250916_21MeOHIPA_BrainLipidEx_LC-PC_R-1_Op-TGL_Proj-solventmatrix_PC_withSPLASH.dam,4.17,3.22,86260760,5.49,"[11.93899870034871, 11.98141342690473, 12.054663145579521, 12.122931247479665, 12.172264717467986, 12.22697413319072, 12.28231962630932, 9.808540311655014, 6.390132606901535, 4.848635413957198, 3.7224678122567862, 3.4647423419184795, 3.350008908032434, 3.2235325140711404, 8.448733617167846]"
pass,20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-PE_R-1_Op-TGL_Proj-solventmatrix_PE_withSPLASH.dam,18.02,14.36,610720,4.52,"[28.230024662016124, 27.9779527409586, 27.806681676902244, 27.70147070837065, 26.747653398689142, 25.37745234051062, 24.869210680804013, 24.50327608654784, 21.672116520089382, 20.365943926133447, 18.32591920269416, 15.868348065738816, 14.358469795473525, 17.50308611986659]"
pass,20250916_21MeOHACN_BrainLipidEx_LC-TG_R-2_Op-TGL_Proj-solventmatrix_TG_18-0_Splash.dam,9.46,9.3,453280,5.37,"[10.93431444621325, 11.114499111255704, 10.93909803006113, 10.956141152216881, 10.51437420161642, 9.84145428782892, 9.592280735135846, 9.31749797881897, 9.295930832866137, 9.562320327204318, 9.505798774042372, 9.933599293007056, 9.929016804823288, 9.499677279497597, 9.558142096462575, 9.722730486694024]"
pass,20250916_21MeOHACN_BrainLipidEx_LC-PS_R-1_Op-TGL_Proj-solventmatrix_PS_Splash.dam,7.89,7.25,1786760,4.13,"[18.798468134222095, 18.74571863142576, 18.717910005560825, 18.711231109194937, 18.709975303068955, 18.55910914879191, 15.75742319213893, 9.166965535981676, 8.472409894679776, 8.377373163023478, 8.537241271611009, 8.537573302899409, 8.07043751642348, 7.885739018852809, 7.2512380302767685, 7.296709187108102]"
pass,20250916_21MeOHIPA_BrainLipidEx_LC-PE_R-1_Op-TGL_Proj-solventmatrix_PE_withSPLASH.dam,3.11,2.94,4449080,4.52,"[3.886870036553562, 3.5967964131880454, 3.628717795351609, 3.637020227977489, 3.6158210556475527, 3.4544394236455953, 3.311645345540679, 3.2606408613675004, 3.107810629455714, 2.938481991857073, 2.9849414168308526, 3.1847638379120227, 3.193611569904928, 12.596279952087622]"
fail,20250916_21MeOHIPA_BrainLipidEx_LC-TG_R-3_Op-TGL_Proj-solventmatrix_TG_18-0_Splash.dam,,,258200,5.37,[]
pass,20250916_21MeOHIPA_BrainLipidEx_LC-Cer_R-2_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,7.67,7.22,1211200,3.57,"[7.216534215905003, 7.240199311665646, 7.294298805398753, 7.71688977386043, 7.953334372411948, 8.579389415158886, 8.854757131107627, 9.023492822313935, 9.389685119827556, 9.580676435952293, 9.845197864818182, 9.37963303083583, 9.472467256472774, 9.531933533242821, 9.766022178079266, 10.004281358582325]"
pass,20250916_21MeOHIPA_BrainLipidEx_LC-PE_R-2_Op-TGL_Proj-solventmatrix_PE_withSPLASH.dam,12.83,11.42,2011400,4.52,"[16.868376162977214, 15.986274580962561, 15.284995475306056, 14.86265436409668, 14.154423730403455, 13.715276456811484, 13.31324055377089, 12.541844678729852, 12.014148940159448, 11.419909957843212, 13.95835140560412]"
pass,20250916_532MeOHIPAACN_BrainLipidEx_LC-TG_R-3_Op-TGL_Proj-solventmatrix_TG_18-0_Splash.dam,16.7,16.42,196240,5.37,"[18.519369290803887, 17.79273074489165, 16.879098855872705, 17.4918985698714, 17.850746035696215, 17.895759206691814, 17.893559288087857, 18.20182979923746, 18.14124401101017, 16.918528075660575, 16.961819324771607, 17.2094727725438, 17.04752592522322, 16.416400044371773, 16.541436080086147, 16.4876505557002]"
pass,20250916_21MeOHIPA_BrainLipidEx_LC-PC_R-2_Op-TGL_Proj-solventmatrix_PC_withSPLASH.dam,2.99,2.92,71496680,5.49,"[3.236420445864378, 3.015656945341399, 2.992698407657174, 2.998407479293794, 3.03141943696553, 3.04566599490877, 3.1313957613641126, 3.109508783871454, 3.1008382041770535, 3.122759453291034, 3.1503679116096945, 3.0366692449181314, 2.975013774506048, 2.9214747771433505]"
pass,20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-PS_R-3_Op-TGL_Proj-solventmatrix_PS_Splash.dam,6.11,6.04,656240,4.13,"[6.52491905102451, 6.542409174904512, 6.412406580616263, 6.251047034455182, 6.343322721784082, 6.210943235885501, 6.052813639244294, 6.039733697052052, 6.070540910661761, 6.149953814180515, 6.247099232504159, 6.138213958102556, 6.3909487649981, 6.467175764774289, 6.452871088277797, 6.39157943709667]"
pass,20250916_532MeOHIPAACN_BrainLipidEx_LC-PE_R-3_Op-TGL_Proj-solventmatrix_PE_withSPLASH.dam,8.66,8.55,1976200,4.52,"[8.628933566014961, 8.552384705156546, 8.724244784537792, 8.679443095712108, 8.653370896021361, 8.748745137158375, 8.775731328946609, 8.984674964277554, 8.99914538855414, 9.045566689387313, 9.51606694052215, 9.424225599943561, 9.494386165103437, 12.718250354578064]"
fail,20250916_12CHCl3MeOH_BrainLipidEx_LC-TG_R-3_Op-TGL_Proj-solventmatrix_TG_18-0_Splash.dam,36.11,35.63,24480,5.37,"[36.23162839194212, 35.62585735691155, 35.66312627806758, 36.930755167438726]"
pass,20250916_532MeOHIPAACN_BrainLipidEx_LC-Cer_R-3_Op-TGL_Proj-solventmatrix_Cer_Splash.dam,11.81,10.51,489080,3.57,"[14.821313635804472, 14.458543495385467, 13.96010525151406, 13.95316432354812, 13.810038237386104, 13.015037722155617, 12.873539217748837, 12.91019729663149, 12.731912012703377, 12.435713019658696, 12.639912432024516, 12.084690004426008, 12.054183351190511, 11.88787914745396, 11.855762583111657, 10.513258429161674]"
fail,20250916_12CHCl3MeOH_BrainLipidEx_LC-PE_R-2_Op-TGL_Proj-solventmatrix_PE_withSPLASH.dam,,,72360,4.52,[]
