% header=SampleName	SampleId	Comments	AcqMethod	ProcMethod	RackCode	PlateCode	VialPos	DilutFact	WghtToVol	Type	RackPos	PlatePos	SetName	OutputFile	_col1Text	_col2Int
20250618_HumanSerum_PC_3_TGL_PC.dam	default_id	default_comment	PC.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	20250618_HumanSerum_PC_3_TGL_PC.dam	custCol1_1	0
2025-06-18_HumanSerum_Ceramides_3_SI_Ceramides.dam	default_id	default_comment	Ceramides.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_Ceramides_3_SI_Ceramides.dam	custCol1_1	0
2025-06-18_HumanSerum_Cholesteryrl Esters_3_SI	default_id	default_comment	none	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_Cholesteryrl Esters_3_SI	custCol1_1	0
2025-06-18_HumanSerum_DG_3_SI_DG_18-2.dam	default_id	default_comment	DG_18-2.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_DG_3_SI_DG_18-2.dam	custCol1_1	0
2025-06-18_HumanSerum_FFS SFA USFA_3_SI	default_id	default_comment	none	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_FFS SFA USFA_3_SI	custCol1_1	0
2025-06-18_HumanSerum_PC_3_SI_PC.dam	default_id	default_comment	PC.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_PC_3_SI_PC.dam	custCol1_1	0
2025-06-18_HumanSerum_PE_3_SI_PE.dam	default_id	default_comment	PE.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_PE_3_SI_PE.dam	custCol1_1	0
2025-06-18_HumanSerum_PG_3_SI_PG.dam	default_id	default_comment	PG.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_PG_3_SI_PG.dam	custCol1_1	0
2025-06-18_HumanSerum_PI_3_SI_PI.dam	default_id	default_comment	PI.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_PI_3_SI_PI.dam	custCol1_1	0
2025-06-18_HumanSerum_PS_3_SI_PS.dam	default_id	default_comment	PS.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_PS_3_SI_PS.dam	custCol1_1	0
2025-06-18_HumanSerum_SM_3_SI_SM.dam	default_id	default_comment	SM.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_SM_3_SI_SM.dam	custCol1_1	0
2025-06-18_HumanSerum_TG_3_SI_TG_22-6.dam	default_id	default_comment	TG_22-6.dam	none	10 By 10	N/A	1	1	0	Unknown	1	0	Set1	2025-06-18_HumanSerum_TG_3_SI_TG_22-6.dam	custCol1_1	0
